experiment,snippet_id,primary_layer,top_level_category,primary_category,downstream_failed_layers,downstream_causal_status,evidence,classification_payload
exp1,05afd878_evaluate_coassembly_edges,L2,standard behavioural mismatch,"wrong aggregation, filtering, or join logic",,none,"❌ L2 equivalence evaluate_coassembly_edges: MISMATCH — DataFrames are different (value mismatch for column ""target"")","equivalence : mismatch — dataframes are different (value mismatch for column ""target"")"
exp1,05afd878_evaluate_combined,L2,standard behavioural mismatch,schema mismatch,L3,causal review required,"❌ L2 equivalence evaluate_combined: MISMATCH — column sets differ (before-only=set(), gen-only={'coassemblyold', 'sequenceold', 'geneold'})","equivalence : mismatch — column sets differ (before-only=set(), gen-only={'coassemblyold', 'sequenceold', 'geneold'})"
exp1,05afd878_evaluate_nontarget,L2,standard behavioural mismatch,schema mismatch,L3,causal review required,"❌ L2 equivalence evaluate_nontarget: MISMATCH — column sets differ (before-only=set(), gen-only={'sample'})","equivalence : mismatch — column sets differ (before-only=set(), gen-only={'sample'})"
exp1,1e52b4e7_concat_to_frame,L1,execution failure,type or runtime error,L2,causal review required,❌ L1 smoke gen_concat_to_frame: TypeError: did not expect type: '__main__._DatasetLike' in `concat`,smoke : typeerror: did not expect type: '__main__._datasetlike' in `concat`
exp1,1f8af3a3_target_elusive_sample_pairs,L1,execution failure,type or runtime error,L2,causal review required,❌ L1 smoke gen_target_elusive_sample_pairs: SchemaError: type String is incompatible with expected type Null,smoke : schemaerror: type string is incompatible with expected type null
exp1,29097c0c_to_dataset_read_wrap,L2,standard behavioural mismatch,missing one or more steps,,none,"❌ L2 equivalence to_dataset_read_wrap: MISMATCH — DataFrames are different (value mismatch for column ""group"")","equivalence : mismatch — dataframes are different (value mismatch for column ""group"")"
exp1,29097c0c_train_iloc_filter,L2,standard behavioural mismatch,schema mismatch,L3,causal review required,"❌ L2 equivalence train_iloc_filter: MISMATCH — column sets differ (before-only=set(), gen-only={'index'})","equivalence : mismatch — column sets differ (before-only=set(), gen-only={'index'})"
exp1,29097c0c_train_merge_concat,L1,execution failure,incomplete runnable code,"L2,L3",causal review required,❌ L1 smoke gen_train_merge_concat: SyntaxError: generated code for train_merge_concat is not syntactically valid after wrapper normalization: mixed/inconsistent indentation could not be safely normalized,smoke : syntaxerror: generated code for is not syntactically valid after wrapper normalization: mixed/inconsistent indentation could not be safely normalized
exp1,325e7c2b_dates_pol_interval,L3,edge-case failure,index-related edge behaviour,,none,"❌ L3 edge dates_pol_interval mismatched lengths: MISMATCH — before=[13 14], gen=[13  1]","edge mismatched lengths: mismatch — before=[13 14], gen=[13 1]"
exp1,3c49cad1_bench_interp_time_rmse,L2,standard behavioural mismatch,"wrong aggregation, filtering, or join logic",L3,causal review required,"❌ L2 equivalence bench_interp_time_rmse value: MISMATCH — before=2.0816659994661326, gen=1.2909944487358056","equivalence value: mismatch — before=2.0816659994661326, gen=1.2909944487358056"
exp1,3c49cad1_geosphere_all,L1,execution failure,type or runtime error,"L2,L3",causal review required,❌ L1 smoke gen_geosphere_all: TypeError: unhashable type: 'dict',smoke : typeerror: unhashable type: 'dict'
exp1,3c49cad1_geosphere_collect,L1,execution failure,type or runtime error,"L2,L3",causal review required,"❌ L1 smoke gen_geosphere_collect: ColumnNotFoundError: unable to find column ""parameters""; valid columns: [""properties""]","smoke : columnnotfounderror: unable to find column ""parameters""; valid columns: [""properties""]"
exp1,3c49cad1_mosmix_access_datetime,L3,edge-case failure,null- or missing-value handling,,none,"❌ L3 edge mosmix_access_datetime empty timesteps: SchemaError: invalid series dtype: expected `String`, got `null` for series with name ``","edge empty timesteps: schemaerror: invalid series dtype: expected `string`, got `null` for series with name ``"
