pair_id,repo,sha,file_path,pair_stem,before_path,after_path,patch_path,test_label,match_status,file_status,macro_primary_old,macro_all_old,patch_lines_file_old
DeepGroundwater__ddr__d7f33d8f43aafda0ef6f4c0f63526e5dbedd84c7__001,DeepGroundwater/ddr,d7f33d8f43aafda0ef6f4c0f63526e5dbedd84c7,engine/adjacency.py,engine__adjacency.py,second_isolated_migrations_artifacts/DeepGroundwater__ddr/d7f33d8f43aafda0ef6f4c0f63526e5dbedd84c7/engine__adjacency.py.before.py,second_isolated_migrations_artifacts/DeepGroundwater__ddr/d7f33d8f43aafda0ef6f4c0f63526e5dbedd84c7/engine__adjacency.py.after.py,second_isolated_migrations_artifacts/DeepGroundwater__ddr/d7f33d8f43aafda0ef6f4c0f63526e5dbedd84c7/engine__adjacency.py.patch,Yes,exact_match,complete,Other / Manual,Other / Manual,109
MaastrichtU-CDS__Flyover__b36214f9eff9cfca16dbeccdf9b454287a7d0325__001,MaastrichtU-CDS/Flyover,b36214f9eff9cfca16dbeccdf9b454287a7d0325,triplifier/data_descriptor/data_descriptor_main.py,triplifier__data_descriptor__data_descriptor_main.py,second_isolated_migrations_artifacts/MaastrichtU-CDS__Flyover/b36214f9eff9cfca16dbeccdf9b454287a7d0325/triplifier__data_descriptor__data_descriptor_main.py.before.py,second_isolated_migrations_artifacts/MaastrichtU-CDS__Flyover/b36214f9eff9cfca16dbeccdf9b454287a7d0325/triplifier__data_descriptor__data_descriptor_main.py.after.py,second_isolated_migrations_artifacts/MaastrichtU-CDS__Flyover/b36214f9eff9cfca16dbeccdf9b454287a7d0325/triplifier__data_descriptor__data_descriptor_main.py.patch,Yes,exact_match,complete,IO boundary,IO boundary;Missing values,143
MaastrichtU-CDS__Flyover__b36214f9eff9cfca16dbeccdf9b454287a7d0325__002,MaastrichtU-CDS/Flyover,b36214f9eff9cfca16dbeccdf9b454287a7d0325,triplifier/data_descriptor/utils/data_preprocessing.py,triplifier__data_descriptor__utils__data_preprocessing.py,second_isolated_migrations_artifacts/MaastrichtU-CDS__Flyover/b36214f9eff9cfca16dbeccdf9b454287a7d0325/triplifier__data_descriptor__utils__data_preprocessing.py.before.py,second_isolated_migrations_artifacts/MaastrichtU-CDS__Flyover/b36214f9eff9cfca16dbeccdf9b454287a7d0325/triplifier__data_descriptor__utils__data_preprocessing.py.after.py,second_isolated_migrations_artifacts/MaastrichtU-CDS__Flyover/b36214f9eff9cfca16dbeccdf9b454287a7d0325/triplifier__data_descriptor__utils__data_preprocessing.py.patch,Yes,exact_match,complete,Aggregation & joins,Aggregation & joins;Missing values,84
MaastrichtU-CDS__Flyover__b36214f9eff9cfca16dbeccdf9b454287a7d0325__003,MaastrichtU-CDS/Flyover,b36214f9eff9cfca16dbeccdf9b454287a7d0325,triplifier/data_descriptor/utils/session_helpers.py,triplifier__data_descriptor__utils__session_helpers.py,second_isolated_migrations_artifacts/MaastrichtU-CDS__Flyover/b36214f9eff9cfca16dbeccdf9b454287a7d0325/triplifier__data_descriptor__utils__session_helpers.py.before.py,second_isolated_migrations_artifacts/MaastrichtU-CDS__Flyover/b36214f9eff9cfca16dbeccdf9b454287a7d0325/triplifier__data_descriptor__utils__session_helpers.py.after.py,second_isolated_migrations_artifacts/MaastrichtU-CDS__Flyover/b36214f9eff9cfca16dbeccdf9b454287a7d0325/triplifier__data_descriptor__utils__session_helpers.py.patch,Yes,exact_match,complete,IO boundary,IO boundary,49
NeLy-EPFL__vnc_networks__04dc43a8e7bf22bd46b8608cb98705ad319a7ad2__001,NeLy-EPFL/vnc_networks,04dc43a8e7bf22bd46b8608cb98705ad319a7ad2,vnc_networks/cmatrix.py,vnc_networks__cmatrix.py,second_isolated_migrations_artifacts/NeLy-EPFL__vnc_networks/04dc43a8e7bf22bd46b8608cb98705ad319a7ad2/vnc_networks__cmatrix.py.before.py,second_isolated_migrations_artifacts/NeLy-EPFL__vnc_networks/04dc43a8e7bf22bd46b8608cb98705ad319a7ad2/vnc_networks__cmatrix.py.after.py,second_isolated_migrations_artifacts/NeLy-EPFL__vnc_networks/04dc43a8e7bf22bd46b8608cb98705ad319a7ad2/vnc_networks__cmatrix.py.patch,Yes,exact_match,complete,Aggregation & joins,Aggregation & joins;Missing values,242
NeLy-EPFL__vnc_networks__04dc43a8e7bf22bd46b8608cb98705ad319a7ad2__002,NeLy-EPFL/vnc_networks,04dc43a8e7bf22bd46b8608cb98705ad319a7ad2,vnc_networks/connections.py,vnc_networks__connections.py,second_isolated_migrations_artifacts/NeLy-EPFL__vnc_networks/04dc43a8e7bf22bd46b8608cb98705ad319a7ad2/vnc_networks__connections.py.before.py,second_isolated_migrations_artifacts/NeLy-EPFL__vnc_networks/04dc43a8e7bf22bd46b8608cb98705ad319a7ad2/vnc_networks__connections.py.after.py,second_isolated_migrations_artifacts/NeLy-EPFL__vnc_networks/04dc43a8e7bf22bd46b8608cb98705ad319a7ad2/vnc_networks__connections.py.patch,Yes,exact_match,complete,Aggregation & joins,Aggregation & joins,692
NeLy-EPFL__vnc_networks__04dc43a8e7bf22bd46b8608cb98705ad319a7ad2__003,NeLy-EPFL/vnc_networks,04dc43a8e7bf22bd46b8608cb98705ad319a7ad2,vnc_networks/connectome_reader.py,vnc_networks__connectome_reader.py,second_isolated_migrations_artifacts/NeLy-EPFL__vnc_networks/04dc43a8e7bf22bd46b8608cb98705ad319a7ad2/vnc_networks__connectome_reader.py.before.py,second_isolated_migrations_artifacts/NeLy-EPFL__vnc_networks/04dc43a8e7bf22bd46b8608cb98705ad319a7ad2/vnc_networks__connectome_reader.py.after.py,second_isolated_migrations_artifacts/NeLy-EPFL__vnc_networks/04dc43a8e7bf22bd46b8608cb98705ad319a7ad2/vnc_networks__connectome_reader.py.patch,Yes,exact_match,complete,IO boundary,IO boundary;Aggregation & joins,998
NeLy-EPFL__vnc_networks__04dc43a8e7bf22bd46b8608cb98705ad319a7ad2__004,NeLy-EPFL/vnc_networks,04dc43a8e7bf22bd46b8608cb98705ad319a7ad2,vnc_networks/neuron.py,vnc_networks__neuron.py,second_isolated_migrations_artifacts/NeLy-EPFL__vnc_networks/04dc43a8e7bf22bd46b8608cb98705ad319a7ad2/vnc_networks__neuron.py.before.py,second_isolated_migrations_artifacts/NeLy-EPFL__vnc_networks/04dc43a8e7bf22bd46b8608cb98705ad319a7ad2/vnc_networks__neuron.py.after.py,second_isolated_migrations_artifacts/NeLy-EPFL__vnc_networks/04dc43a8e7bf22bd46b8608cb98705ad319a7ad2/vnc_networks__neuron.py.patch,Yes,exact_match,complete,Other / Manual,Other / Manual,234
YuriNakayama__cate__1e52b4e74b3b012dfc012cc6e81870d78acafb05__001,YuriNakayama/cate,1e52b4e74b3b012dfc012cc6e81870d78acafb05,cate/dataset.py,cate__dataset.py,second_isolated_migrations_artifacts/YuriNakayama__cate/1e52b4e74b3b012dfc012cc6e81870d78acafb05/cate__dataset.py.before.py,second_isolated_migrations_artifacts/YuriNakayama__cate/1e52b4e74b3b012dfc012cc6e81870d78acafb05/cate__dataset.py.after.py,second_isolated_migrations_artifacts/YuriNakayama__cate/1e52b4e74b3b012dfc012cc6e81870d78acafb05/cate__dataset.py.patch,Yes,exact_match,complete,Aggregation & joins,Aggregation & joins,7
YuriNakayama__cate__1ec015da449437e671577625f2ecaa9a1670f9f9__001,YuriNakayama/cate,1ec015da449437e671577625f2ecaa9a1670f9f9,cate/dataset.py,cate__dataset.py,second_isolated_migrations_artifacts/YuriNakayama__cate/1ec015da449437e671577625f2ecaa9a1670f9f9/cate__dataset.py.before.py,second_isolated_migrations_artifacts/YuriNakayama__cate/1ec015da449437e671577625f2ecaa9a1670f9f9/cate__dataset.py.after.py,second_isolated_migrations_artifacts/YuriNakayama__cate/1ec015da449437e671577625f2ecaa9a1670f9f9/cate__dataset.py.patch,Yes,exact_match,complete,Other / Manual,Other / Manual,24
