repo,sha,author,date_iso,subject,isolated_units,macro_groups,pandas_types_union,polars_types_union,is_tangled,changed_py_files
AashishTangnami/data_analysis_tool,8aef85ae1701fc1d7c79e494b240d1a918c7f796,Aashish Tangnami,2025-05-11T18:40:57-04:00,results matched for both pandas and polars diagnostic analysis,1,Other / Manual,,Expressions - Columns/names,False,src/backend/core/analysis/diagnostic/polars_diagnostic.py
AashishTangnami/data_analysis_tool,52e9b6f30bbaf1bb9fcb17d12c9ba0e890affca3,Aashish Tangnami,2025-04-29T22:14:47-04:00,Fixed the consistent result for polars and pandas for same file,1,Other / Manual,,Expressions - Columns/names;Expressions - Functions,False,src/backend/core/analysis/diagnostic/polars_diagnostic.py
AashishTangnami/data_analysis_tool,4df39344c6ee6b591469ac8f2dd49440bf0825ec,Aashish Tangnami,2025-04-27T21:10:40-04:00,Fixed numeric edge cases in different analysis type for pandas and polars,1,Aggregation & joins,General functions,Other polars API,False,src/backend/core/analysis/diagnostic/polars_diagnostic.py
AashishTangnami/data_analysis_tool,66626f748fdc042be18a00fc9dcdee6a5f2e97b7,Aashish Tangnami,2025-04-23T03:31:43-04:00,Cleaned pandas ingestion process and optimized memory efficiency,1,IO boundary,Input/output,Expressions - Columns/names;Expressions - Functions;Functions;Input/output - CSV;Input/output - Excel;Input/output - IPC;Input/output - JSON;Input/output - Parquet,False,src/backend/core/ingestion/polars_ingestion.py
AlexKirkup90/Simplified_Model,ed87fc92a406dcf2206351c19cdc47b0a66bcc60,AlexKirkup90,2025-09-29T13:29:27+01:00,Replace polars helper block with pandas-first version,1,Other / Manual,Other pandas API,Other polars API,False,backend.py
AlexKirkup90/Simplified_Model,c2fd2b45139112d2fa0de0575fd94f628ac9f6b8,AlexKirkup90,2025-09-16T15:58:59+01:00,Add optional polars signal pipeline,1,Other / Manual,Other pandas API,Expressions - Columns/names;Expressions - Functions;Functions,False,backend.py
Amsterdam/financiele_overzichten,85f9b7f5f9017068a66eacc1885eca0bec7d7259,Thomas van der Linden,2025-10-07T15:10:00+02:00,"environment werkend gemaakt voor polars, ongebruikte imports verwijderd en inlees- en wegschrijfvariabelen aangepast voor polars",1,Other / Manual,,Input/output - CSV,False,tool.py
Amsterdam/financiele_overzichten,0fa45fd4cf9e630dd3988a363f71830042967a14,Thomas van der Linden,2025-10-06T15:44:45+02:00,eerste werkende versie met polars,1,IO boundary,Input/output,Input/output - Excel,False,tool.py
CityofToronto/bdit_tt_request_app,315b52a39009b28622a9f7e6d4d4fad6a5fc5189,Nate Wessel,2025-10-03T12:40:03-04:00,Replace Pandas with Polars (#226),1,Aggregation & joins,General functions,Expressions - Columns/names;Functions,False,backend/app/travel_times/get_travel_time.py
DeepGroundwater/ddr,d7f33d8f43aafda0ef6f4c0f63526e5dbedd84c7,taddyb,2025-06-19T09:41:51-04:00,feat: applying pyiceberg and polars changes to the adjacency code,1,Other / Manual,Other pandas API,Expressions - Columns/names,False,engine/adjacency.py
HAILatPitt/concrete-city-of-pgh,01c6164eea319630fffccfad6639eb80fbddfc09,rossreillypitt,2025-11-24T17:04:59-05:00,"added polars, pyarrow, convert df from polars to pandas",1,IO boundary,Input/output,Input/output - CSV,False,concrete-model-building.py
IBM/Hestia-GOOD,329f1e672847a3298cdf350df17ea631990494c0,RaulFD-creator,2025-03-10T10:52:46+00:00,_ Clustering accepts polars and converts to pandas,2,Other / Manual,Other pandas API,Other polars API,False,hestia/clustering.py;hestia/reduction.py
IBM/Hestia-GOOD,d61792da3b9bdc8abe5e76e1ac0d56ab6509522c,RaulFD-creator,2024-12-17T14:18:58+00:00,__ï¸ Optim: Substitutting `pandas` for `polars` (#82),1,IO boundary;Aggregation & joins,General functions;Input/output,Expressions - Columns/names;Functions;Input/output - CSV,False,hestia/similarity.py
IBM/Hestia-GOOD,66d0385f5e189e68f9d623511eb9a1720b931c2e,RaulFD-creator,2024-12-17T14:14:33+00:00,__ï¸ Optim: Substitutting `pandas` for `polars`,1,IO boundary;Aggregation & joins,General functions;Input/output,Expressions - Columns/names;Functions;Input/output - CSV,False,hestia/similarity.py
ML4GLand/SeqData,4bf00356daeb350c17d68a4a073c06a7ac3dc5f1,d-laub,2025-01-03T12:39:12-08:00,feat: expands the public API to accept polars or pandas dataframes as BED files.,1,Other / Manual,Other pandas API,Other polars API,False,seqdata/_io/read.py
ML4GLand/SeqData,c8c77a15c3db107317ebdbba5baf1b41b23dfe12,d-laub,2024-12-25T19:21:57-08:00,fix: update table reader to use polars to handle batched schema inference. fix: pandera now supports polars.,9,IO boundary;Other / Manual,Input/output;Other pandas API,Expressions - Columns/names;Expressions - Functions;Input/output - CSV;Other polars API,False,seqdata/_io/bed_ops.py;seqdata/_io/readers/bam.py;seqdata/_io/readers/fasta.py;seqdata/_io/readers/table.py;seqdata/_io/readers/vcf.py;seqdata/_io/readers/wig.py;seqdata/_io/utils.py;seqdata/types.py;seqdata/xarray/seqdata.py
MaastrichtU-CDS/Flyover,b36214f9eff9cfca16dbeccdf9b454287a7d0325,copilot-swe-agent[bot],2025-12-10T08:53:42+00:00,Replace pandas with polars for CSV data processing,3,IO boundary;Aggregation & joins;Missing values,General functions;Input/output;Missing values;Testing,Expressions - Columns/names;Input/output - CSV;Other polars API,False,triplifier/data_descriptor/data_descriptor_main.py;triplifier/data_descriptor/utils/data_preprocessing.py;triplifier/data_descriptor/utils/session_helpers.py
NCSU-High-Powered-Rocketry-Club/AirbrakesV2,e6a7f88066024aac4191bbb427c769146ec1c87c,Harshil,2025-04-21T03:00:46-04:00,Use polars instead of pandas for perf improvements,3,IO boundary;Aggregation & joins;Missing values,General functions;Input/output;Missing values,Expressions - Columns/names;Input/output - CSV,False,airbrakes/mock/mock_imu.py;tests/test_components/test_data_processor.py;tests/test_integration.py
NeLy-EPFL/vnc_networks,04dc43a8e7bf22bd46b8608cb98705ad319a7ad2,Dominic D,2025-10-13T13:22:42+02:00,Replace pandas with polars (#70),4,IO boundary;Aggregation & joins;Missing values;Other / Manual,General functions;Input/output;Missing values;Other pandas API,Expressions - Aggregation;Expressions - Columns/names;Expressions - Functions;Functions;Input/output - CSV;Input/output - IPC;Selectors,False,vnc_networks/cmatrix.py;vnc_networks/connections.py;vnc_networks/connectome_reader.py;vnc_networks/neuron.py
PyPSA/linopy,2d699598cf727d06f7b3a7dbf7cf4f1744ac1703,Fabian Hofmann,2025-09-08T14:14:50+02:00,Replace pandas-based LP file writing with polars implementation (#496),1,Other / Manual,Other pandas API,Other polars API,False,linopy/io.py
