repo,pr_title,pr_url,author,comments,created_at,updated_at,hit_pandas,hit_polars,pp_valid
narwhals-dev/narwhals,feat: add `Schema.to_(arrow|pandas|polars)`,https://github.com/narwhals-dev/narwhals/pull/1924,dangotbanned,21,2025-02-03T14:05:07Z,2025-02-08T17:24:44Z,False,False,False
ultralytics/ultralytics,"refactor: 🚀 switch core data ops from `pandas` to `polars` (training, benchmarks, plotting, W&B)",https://github.com/ultralytics/ultralytics/pull/21619,Laughing-q,14,2025-08-08T05:52:09Z,2025-08-26T09:53:31Z,False,False,False
mesa/mesa-frames,Deprecate pandas backend in favor of Polars,https://github.com/mesa/mesa-frames/pull/125,Ben-geo,10,2025-03-20T23:26:19Z,2025-04-03T14:11:29Z,False,False,False
PyPSA/linopy,Replace pandas-based LP file writing with polars implementation,https://github.com/PyPSA/linopy/pull/496,FabianHofmann,9,2025-09-08T09:51:25Z,2025-11-03T11:20:16Z,False,False,False
The-Strategy-Unit/data_science,385 write blog post about the move from pandas to polars lessons learned,https://github.com/The-Strategy-Unit/data_science/pull/386,ai-mindset,8,2025-10-29T09:30:18Z,2025-12-02T11:19:14Z,,,
narwhals-dev/narwhals,"test: Fix yet more tests to work without polars (pandas, pyarrow)",https://github.com/narwhals-dev/narwhals/pull/2250,mgorny,8,2025-03-19T15:13:24Z,2025-03-19T17:53:41Z,False,False,False
mpds-io/mpds-client,Change Pandas on Polars package ,https://github.com/mpds-io/mpds-client/pull/18,alinzh,6,2024-12-14T11:56:59Z,2025-09-02T12:34:46Z,False,False,False
narwhals-dev/narwhals,"test: Fix more tests to work without polars (and pandas, pyarrow)",https://github.com/narwhals-dev/narwhals/pull/2245,mgorny,6,2025-03-19T09:17:17Z,2025-03-19T15:57:14Z,False,False,False
marimo-team/marimo,Typo: pandas -> polars,https://github.com/marimo-team/marimo/pull/3434,ushuz,5,2025-01-14T21:16:28Z,2025-01-14T22:58:03Z,False,False,False
nasirus/bench_pandas_polars,Add comprehensive pandas vs polars performance benchmark,https://github.com/nasirus/bench_pandas_polars/pull/1,Copilot,4,2025-11-10T18:17:17Z,2025-11-10T21:06:38Z,False,False,False
conda-forge/ultralytics-feedstock,Remove tqdm and pandas and add polars in requirements,https://github.com/conda-forge/ultralytics-feedstock/pull/449,onuralpszr,4,2025-08-28T20:22:06Z,2025-08-28T21:04:30Z,False,False,False
visivo-io/visivo,Jared/replace pandas with polars,https://github.com/visivo-io/visivo/pull/258,jpjsonic,4,2025-06-16T17:13:31Z,2025-06-19T14:52:03Z,False,False,False
kuzudb/kuzu,Fix scan pandas/polars type error,https://github.com/kuzudb/kuzu/pull/5218,acquamarin,3,2025-04-10T05:42:09Z,2025-05-06T20:15:41Z,False,False,False
Quansight/Quansight-website,[BLOG]: Mastering DuckDB when you're used to pandas or Polars,https://github.com/Quansight/Quansight-website/pull/903,MarcoGorelli,3,2025-01-28T11:38:49Z,2025-02-17T11:11:39Z,False,False,False
MaastrichtU-CDS/Flyover,Replace pandas with polars for robust CSV data ingestion,https://github.com/MaastrichtU-CDS/Flyover/pull/76,Copilot,2,2025-12-10T08:44:43Z,2025-12-11T09:06:57Z,,,
typedef-ai/fenic,feat: allow with_column/with_columns to support polars/pandas series,https://github.com/typedef-ai/fenic/pull/266,bcallender,2,2025-10-23T18:20:28Z,2025-11-21T18:34:17Z,,,
y9c/metagene,Replace pyranges1 and pandas with ruranges and polars,https://github.com/y9c/metagene/pull/6,Copilot,2,2025-10-30T19:57:55Z,2025-10-31T03:29:22Z,False,False,False
paucablop/chemotools,198 Make pandas and polars optional dependencies to resolve Windows ARM64 compatibility,https://github.com/paucablop/chemotools/pull/211,Gnpd,2,2025-10-23T11:11:01Z,2025-10-29T20:02:32Z,,,
equinor/ert,Remove `polars_dataframe.to_pandas()` from tests,https://github.com/equinor/ert/pull/12120,jonathan-eq,2,2025-10-23T12:44:59Z,2025-10-27T15:32:36Z,,,
vietvudanh/vietlott-data,Refactor: Replace pandas with polars in data fetching flow,https://github.com/vietvudanh/vietlott-data/pull/24,Copilot,2,2025-10-18T05:09:57Z,2025-10-18T14:37:06Z,False,False,False
scipy-conference/scipy_proceedings,Slides: Accelerated DataFrames for all: Bringing GPU acceleration to pandas and Polars,https://github.com/scipy-conference/scipy_proceedings/pull/1165,vyasr,2,2025-09-26T18:03:00Z,2025-10-08T01:43:58Z,,,
mpds-io/mpds-api,Changes in examples: change Pandas to Polars,https://github.com/mpds-io/mpds-api/pull/63,alinzh,2,2024-12-20T16:42:11Z,2025-09-02T12:56:01Z,False,False,False
vpduchuynh/ims-coding-agent,Migrate Data Handling from Pandas to Polars for Performance Improvement,https://github.com/vpduchuynh/ims-coding-agent/pull/8,Copilot,2,2025-06-06T09:05:09Z,2025-06-06T10:47:55Z,False,False,False
