repo,matched_pr_count,sample_pr_urls,hit_pandas,hit_polars,pp_valid
ddotta/awesome-polars,11,https://github.com/ddotta/awesome-polars/pull/405 | https://github.com/ddotta/awesome-polars/pull/399 | https://github.com/ddotta/awesome-polars/pull/320,False,False,False
posit-dev/positron,6,https://github.com/posit-dev/positron/pull/4329 | https://github.com/posit-dev/positron/pull/4184 | https://github.com/posit-dev/positron/pull/4121,False,False,False
hongbo-miao/hongbomiao.com,5,https://github.com/hongbo-miao/hongbomiao.com/pull/22082 | https://github.com/hongbo-miao/hongbomiao.com/pull/22081 | https://github.com/hongbo-miao/hongbomiao.com/pull/22080,False,False,False
marimo-team/marimo,4,https://github.com/marimo-team/marimo/pull/3289 | https://github.com/marimo-team/marimo/pull/3232 | https://github.com/marimo-team/marimo/pull/2562,False,False,False
apache/datafusion-python,3,https://github.com/apache/datafusion-python/pull/602 | https://github.com/apache/datafusion-python/pull/242 | https://github.com/apache/datafusion-python/pull/190,False,False,False
scikit-learn/scikit-learn,3,https://github.com/scikit-learn/scikit-learn/pull/29502 | https://github.com/scikit-learn/scikit-learn/pull/28804 | https://github.com/scikit-learn/scikit-learn/pull/28195,False,False,False
skrub-data/skrub,3,https://github.com/skrub-data/skrub/pull/1108 | https://github.com/skrub-data/skrub/pull/936 | https://github.com/skrub-data/skrub/pull/733,False,False,False
pola-rs/polars,2,https://github.com/pola-rs/polars/pull/16746 | https://github.com/pola-rs/polars/pull/15933,False,False,False
business-science/pytimetk,2,https://github.com/business-science/pytimetk/pull/123 | https://github.com/business-science/pytimetk/pull/140,False,False,False
limebit/medmodels,2,https://github.com/limebit/medmodels/pull/106 | https://github.com/limebit/medmodels/pull/105,False,False,False
narwhals-dev/narwhals,2,https://github.com/narwhals-dev/narwhals/pull/546 | https://github.com/narwhals-dev/narwhals/pull/30,False,False,False
ashwin153/autofeat,2,https://github.com/ashwin153/autofeat/pull/285 | https://github.com/ashwin153/autofeat/pull/291,False,False,False
