path,size_bytes,sha256,role
.gitignore,44,7def366a6a1ead65cfa5a1d31a78758376d7702b74bc8c0f988c3eeb389bfb83,repository_metadata
README.md,4348,872af2e4829d57a8fa7308d242cc5260275148fe88e6b79fb2febd1f288776fd,repository_metadata
baseline/code/baseline_zero_shot_generation.ipynb,20083,ccd656720f8c7e476666ebdfca81ab8e69d926d010982cebbb5c4af7d3514fea,code
baseline/prompts/prompt_template.txt,1171,fd1eeac0869543eeed9f495042b39a2f6cfbfad098f0a6201c702b663e89fda4,prompt
baseline/prompts/rendered/05afd878_evaluate_coassembly_edges.txt,2017,d9f6a267a490ba39fa7388d37ddef4f4b13f0ad68ce92ebe101f9e719cc3ff16,prompt
baseline/prompts/rendered/05afd878_evaluate_combined.txt,1822,8fb34c2f2d187ebd7ed0ce978ef32a7c7da7055ae261ec58f865036eeb559ff9,prompt
baseline/prompts/rendered/05afd878_evaluate_nontarget.txt,1688,24aab71d64ee5d5f43ba6ea03c31b8ee73721d809f14897e52e1ce51c9533e31,prompt
baseline/prompts/rendered/05afd878_evaluate_unbinned.txt,1425,afc3cff7c9deaae82f99a4ed7b44b18d191ecba533b98726ea8933c7636e6f9d,prompt
baseline/prompts/rendered/0ffdf231_noaa_ghcn_inventory.txt,1389,5e4f2e8a9ec5b7c4280b4fa3513843a56f8d99daad8dda81f71660b088862d8b,prompt
baseline/prompts/rendered/0ffdf231_noaa_ghcn_stations.txt,1432,b4c5911af465fc4a66a5f4c6ae332eabc4c58d3fb3fbdea3457cf38ba1025b26,prompt
baseline/prompts/rendered/142b5bcb_tools_relocate.txt,1640,f728f13f2d41f412db6d3efe3cc398f3b0175f8ab033ac71d4bb5dd0e96676ce,prompt
baseline/prompts/rendered/16645382_exp_stats_col_assign.txt,1231,ef8949e42c4bd1c3d5c91337e2b2943f312fde2a09c349edfbcaf647940ba610,prompt
baseline/prompts/rendered/16645382_exp_stats_rename.txt,1233,e919464a1a1f7dc2b37e85f1d05390fa51633275e5d09a4f3ffec81baa31d59c,prompt
baseline/prompts/rendered/1e52b4e7_concat_to_frame.txt,1240,ab70fe5b2a5c21c03e943c91a8d3eab84bab78e2d4ccead0e2b28c45c1754484,prompt
baseline/prompts/rendered/1ec015da_to_rank.txt,1455,3fb698306f9aa0c98df6abd80e332da238ef7fe20b264a468d08ab22de5eda76,prompt
baseline/prompts/rendered/1f8af3a3_target_elusive_sample_pairs.txt,1575,ae0e2630f8dd5b25ddb0ad8dac330b9ef91ac075b162684be41e294fa090bb06,prompt
baseline/prompts/rendered/1f8af3a3_target_elusive_sparse_edges.txt,1462,8da2defba6dfe3f93c80aae60586766aed6e215cb14cf403bfec10a0210a3f13,prompt
baseline/prompts/rendered/1f8af3a3_target_elusive_unbinned.txt,1448,faedb8fa5adb14c1b2c88d49584638779f30b951682613b7e37934907e3cc999,prompt
baseline/prompts/rendered/287a28d8_col_ends_with.txt,1257,93914a77bfb5cc73f46080156561c9a92418df32da86da75ebf604d034466f8a,prompt
baseline/prompts/rendered/287a28d8_col_matches.txt,1257,ce24c8f6ab3638ced1d1314ea149200dc78feaa1f717abe22c10d260ce1d7bfb,prompt
baseline/prompts/rendered/287a28d8_col_starts_with.txt,1361,7767c21c49251efd36813002c3beb09dda08ccaeea307a619295ab834cbaf502,prompt
baseline/prompts/rendered/29097c0c_to_dataset_read_wrap.txt,1664,1a9161e20b92d4ac041681491ad2d3b2a03c5e651d4741e86d7bf76a72537c5b,prompt
baseline/prompts/rendered/29097c0c_train_iloc_filter.txt,2258,48d9c3e7db7c062205cdb128c7f251386c194b3a9edcb2be54bf914eecfc0455,prompt
