batch,snippet_id,func_name,l1_raw,l2_raw,l3_raw,notebook_match,generated_code_match,function_match,output_match,fixture_match,result_alignment,oracle_valid,primary_layer,primary_category,cascade,evaluation_induced,evidence,review_status
7,img2table_google_vision_concat_lazy_migration,img2table_google_vision_concat_lazy_migration,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
7,img2table_google_vision_list_dfs_migration,img2table_google_vision_list_dfs_migration,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
7,img2table_lines_cross_join_migration,img2table_lines_cross_join_migration,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
7,img2table_lines_df_lines_creation_migration,img2table_lines_df_lines_creation_migration,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
7,img2table_lines_filter_words_migration,img2table_lines_filter_words_migration,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
7,img2table_lines_groupby_sum_migration,img2table_lines_groupby_sum_migration,pass,pass,pass,yes,yes,yes,yes,yes,raw L2 taken from sibling output,yes,L2,incorrect aggregation logic,none,result-extraction issue,Target comparison reports different values in the intersection column although generated execution and its edge smoke check succeed.,genuine migration failure; raw summary needs correction
7,img2table_lines_intersection_assignment_migration,img2table_lines_intersection_assignment_migration,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
7,img2table_lines_intersection_formula_migration,img2table_lines_intersection_formula_migration,pass,fail,pass,yes,yes,yes,yes,yes,raw L2 contaminated by sibling output,yes,none,none,none,result-extraction issue,Target cell shows generated execution standard equivalence and edge execution all passing.,validated pass; raw summary needs correction
7,img2table_lines_intersection_lines_filter_migration,img2table_lines_intersection_lines_filter_migration,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
7,img2table_pdf_concat_lazy_migration,img2table_pdf_concat_lazy_migration,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
7,img2table_pdf_list_dfs_migration,img2table_pdf_list_dfs_migration,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
7,marimo_chdb_cursor_rows,marimo_chdb_cursor_rows,fail,fail,unknown,yes,yes,yes,yes,yes,L3 check printed with L2 marker,yes,L1,type or runtime error,L2 cascade; L3 independent pass,result-labeling issue,Generated standard path constructs an Int64 Series containing the string alpha and raises TypeError; the separately tested edge case matches.,genuine migration failure; L3 marker needs correction
7,medmodels_classic_distance_covariates_select_migration,medmodels_classic_distance_covariates_select_migration,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
7,medmodels_classic_distance_match_migration,medmodels_classic_distance_match_migration,pass,pass,unknown,yes,yes,yes,yes,yes,L3 check printed with L2 marker,yes,none,none,none,result-labeling issue,Standard behavior and the Mahalanobis branch edge comparison pass; the edge result is emitted with an L2 marker.,migration passed; L3 marker needs correction
7,medmodels_medrecord_process_edges_dataframe_migration,medmodels_medrecord_process_edges_dataframe_migration,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific standard and edge outputs, including column-name contracts, pass.",validated pass
7,medmodels_medrecord_process_nodes_dataframe_migration,medmodels_medrecord_process_nodes_dataframe_migration,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific standard and edge outputs, including index-name contracts, pass.",validated pass
7,medmodels_propensity_score_prop_score_migration,medmodels_propensity_score_prop_score_migration,pass,fail,unknown,yes,yes,yes,yes,yes,aligned to primary function,yes,L2,incorrect filtering or row-selection logic,none,no,Generated execution succeeds but the representative output has a different row count from the pandas oracle; no target-specific L3 check is present.,genuine migration failure
7,medmodels_propensity_score_signature_migration,medmodels_propensity_score_signature_migration,pass,fail,fail,yes,yes,yes,yes,yes,raw L2 and L3 contaminated by sibling output,yes,none,none,none,result-extraction issue,Target cell shows generated smoke execution and standard signature behavior matching; no target-specific L3 check is present.,migration passed available checks; raw summary needs correction
7,mexca_data_delete_filename_time_col_migration,mexca_data_delete_filename_time_col_migration,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
7,mexca_data_merge_audio_text_features_migration,mexca_data_merge_audio_text_features_migration,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
7,mexca_data_merge_features_migration,mexca_data_merge_features_migration,pass,skip,skip,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,comparison limitation,L1 returns callable functions but neither side yields a comparable DataFrame and the isolated snippet lacks the original local dfs construction required for L3.,no observed migration failure; comparison unsupported
7,mexca_data_merge_video_annotation_migration,mexca_data_merge_video_annotation_migration,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and absent-feature edge checks pass.",validated pass
7,mexca_data_merge_voice_features_migration,mexca_data_merge_voice_features_migration,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and absent-feature edge checks pass.",validated pass
7,mpds_get_dataframe,mpds_get_dataframe,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
7,pheval_gene_identifier_map,pheval_gene_identifier_map,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Standard behavior plus empty-table and duplicate-ID edge cases pass.",validated pass
7,pheval_gene_updater_find_identifier,pheval_gene_updater_find_identifier,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Standard behavior plus previous-symbol and missing-value edge cases pass.",validated pass
7,pheval_gene_updater_find_symbol,pheval_gene_updater_find_symbol,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Standard behavior plus alternative-ID and missing-key edge cases pass.",validated pass
