batch,snippet_id,func_name,l1_raw,l2_raw,l3_raw,notebook_match,generated_code_match,function_match,output_match,fixture_match,result_alignment,oracle_valid,primary_layer,primary_category,cascade,evaluation_induced,evidence,review_status
3,3c49cad1_radar_sites_cols,radar_sites_cols,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
3,3c49cad1_radar_sites_dicts,radar_sites_dicts,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
3,3c49cad1_timeseries_extract,timeseries_extract,fail,fail,fail,yes,yes,yes,yes,yes,aligned to primary function,yes,L1,invalid target API usage,L2 and L3 cascade,no,Generated code accesses .values on a Polars Series; oracle succeeds.,genuine migration failure
3,3c49cad1_timeseries_gain,timeseries_gain,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
3,8017f91b_embedder_frame,embedder_frame,pass,pass,unknown,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,result-labeling issue,empty-mapping edge comparison passes but is labelled L2,migration passed available checks; L3 marker needs correction
3,8017f91b_eval_hybrid_concat_sort,eval_hybrid_concat_sort,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
3,8017f91b_eval_hybrid_load,eval_hybrid_load,pass,skip,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,comparison limitation,both sides return no comparable DataFrame output; edge smoke passes,no observed migration failure; comparison unsupported
3,8017f91b_hybrid_score_concat,hybrid_score_concat,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
3,8017f91b_hybrid_score_frame,hybrid_score_frame,pass,fail,fail,yes,yes,yes,yes,yes,aligned to primary function,yes,L2,missing one or more steps / return-type mismatch,L3 cascade,no,Generated wrapper returns None while the oracle returns a DataFrame.,genuine migration failure
3,8017f91b_input_loc_col,input_loc_col,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
3,8017f91b_input_loc_index_item,input_loc_index_item,pass,fail,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,L2,missing one or more steps / return-value mismatch,none; L3 exceptional branches pass,no,Generated output is None while the oracle returns index item 101.,genuine migration failure
3,8017f91b_io_parquet,io_parquet,pass,pass,unknown,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,result-labeling issue,roundtrip edge comparison passes but marker begins with L2,migration passed available checks; L3 marker needs correction
3,8017f91b_model_data_lang_loc_filter,model_data_lang_loc_filter,pass,skip,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,comparison limitation,both sides return no comparable DataFrame output; edge smoke passes,no observed migration failure; comparison unsupported
3,8017f91b_model_data_loc_filter,model_data_loc_filter,pass,skip,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,comparison limitation,both sides return no comparable DataFrame output; edge smoke passes,no observed migration failure; comparison unsupported
3,8017f91b_pairwise_cosine_loc,pairwise_cosine_loc,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
3,8017f91b_pairwise_loc_filter,pairwise_loc_filter,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
3,8017f91b_precompute_cross_join,precompute_cross_join,pass,fail,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,L2,incorrect transformation logic,none; L3 empty-input check passes,no,Generated document_id values differ from the oracle.,genuine migration failure
3,8017f91b_precompute_id_cross_frame,precompute_id_cross_frame,fail,fail,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,L1,schema/column construction error,L2 cascade; L3 empty-input branch passes independently,no,Generated code creates duplicate column name index; oracle succeeds.,genuine migration failure
3,8c71f3c7_attr_getter_unseen_frame,attr_getter_unseen_frame,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
3,8c71f3c7_attr_getter_unseen_iter,attr_getter_unseen_iter,fail,fail,fail,yes,yes,yes,yes,yes,aligned to primary function,yes,L1,incomplete runnable code,L2 and L3 cascade,no,Generated code has mixed/inconsistent indentation and cannot be safely normalized; oracle succeeds.,genuine migration failure
3,8c71f3c7_citation_models_fillna,citation_models_fillna,pass,pass,unknown,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,result-labeling issue,"partial-null, all-null, and empty-frame edge checks pass but markers begin with L2",migration passed available checks; L3 marker needs correction
3,a52cebfe_common_get_observations,common_get_observations,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
3,a52cebfe_common_summary_filter,common_summary_filter,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
3,a52cebfe_es_update_pivot_join,es_update_pivot_join,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
3,a52cebfe_es_update_scaling_factors,es_update_scaling_factors,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
3,a52cebfe_measured_data_pivot_join,measured_data_pivot_join,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
