batch,snippet_id,func_name,l1_raw,l2_raw,l3_raw,notebook_match,generated_code_match,function_match,output_match,fixture_match,result_alignment,oracle_valid,primary_layer,primary_category,cascade,evaluation_induced,evidence,review_status
6,acryo_loader_corr_max_with_columns_migration,acryo_loader_corr_max_with_columns_migration,pass,pass,unknown,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,Generated smoke execution and feature-state comparison pass; no target-specific L3 check is present.,migration passed available checks; no L3 evidence
6,acryo_loader_get_features_migration,acryo_loader_get_features_migration,pass,pass,unknown,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,Generated smoke execution and standard DataFrame comparison pass; no target-specific L3 check is present.,migration passed available checks; no L3 evidence
6,acryo_loader_scores_with_columns_migration,acryo_loader_scores_with_columns_migration,pass,pass,unknown,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,Generated smoke execution and feature-state comparison pass; no target-specific L3 check is present.,migration passed available checks; no L3 evidence
6,acryo_loader_update_features_migration,acryo_loader_update_features_migration,pass,pass,unknown,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,Generated smoke execution and standard DataFrame comparison pass; no target-specific L3 check is present.,migration passed available checks; no L3 evidence
6,acryo_molecules_concat_migration,acryo_molecules_concat_migration,pass,pass,unknown,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,Generated smoke execution and feature-state comparison pass; no target-specific L3 check is present.,migration passed available checks; no L3 evidence
6,acryo_molecules_from_csv_migration,acryo_molecules_from_csv_migration,pass,pass,unknown,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,Generated smoke execution and feature-state comparison pass; no target-specific L3 check is present.,migration passed available checks; no L3 evidence
6,acryo_molecules_rotation_copy_migration,acryo_molecules_rotation_copy_migration,pass,pass,unknown,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,Generated smoke execution and copied-state comparison pass; no target-specific L3 check is present.,migration passed available checks; no L3 evidence
6,acryo_molecules_subset_migration,acryo_molecules_subset_migration,fail,fail,fail,yes,yes,yes,yes,yes,raw summary entirely contaminated by sibling output,yes,none,none,none,result-extraction issue,Target cell shows both generated smoke execution and subset feature comparison passing; no target-specific L3 check is present.,migration passed available checks; raw summary needs correction
6,acryo_molecules_to_csv_migration,acryo_molecules_to_csv_migration,pass,pass,unknown,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,Generated smoke execution and CSV readback comparison pass; no target-specific L3 check is present.,migration passed available checks; no L3 evidence
6,acryo_molecules_to_dataframe_migration,acryo_molecules_to_dataframe_migration,pass,pass,unknown,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,Generated smoke execution and standard DataFrame comparison pass; no target-specific L3 check is present.,migration passed available checks; no L3 evidence
6,acryo_molecules_translation_copy_migration,acryo_molecules_translation_copy_migration,pass,pass,unknown,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,Generated smoke execution and copied-state comparison pass; no target-specific L3 check is present.,migration passed available checks; no L3 evidence
6,adjacency_create_matrix_loop,adjacency_create_matrix_loop,pass,fail,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,L2,missing steps or side effects,none,no,Sorter side effect matches but generated fp and network DataFrames have different row counts from the oracle; the edge smoke check passes.,genuine migration failure
6,adjacency_read_file_to_polars,adjacency_read_file_to_polars,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
6,azure_ocr_concat_lazy,azure_ocr_concat_lazy,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
6,azure_ocr_from_dicts,azure_ocr_from_dicts,pass,pass,unknown,yes,yes,yes,yes,yes,L3 check printed with L2 marker,yes,none,none,none,result-labeling issue,Standard appended-list behavior and the empty-list edge case both pass; the latter is emitted with an L2 marker.,migration passed; L3 marker needs correction
