batch,snippet_id,func_name,l1_raw,l2_raw,l3_raw,notebook_match,generated_code_match,function_match,output_match,fixture_match,result_alignment,oracle_valid,primary_layer,primary_category,cascade,evaluation_induced,evidence,review_status
4,142b5bcb_tools_relocate,tools_relocate,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
4,16645382_exp_stats_col_assign,exp_stats_col_assign,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
4,16645382_exp_stats_rename,exp_stats_rename,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
4,287a28d8_col_ends_with,col_ends_with,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
4,287a28d8_col_matches,col_matches,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
4,287a28d8_col_starts_with,col_starts_with,pass,fail,fail,yes,yes,yes,yes,yes,aligned to primary function,yes,L2,invalid target API or container usage,L3 cascade,no,Generated callable indexes the Python list data.columns with a list of booleans; standard and edge invocations raise TypeError while the oracle succeeds.,genuine migration failure
4,325e7c2b_dates_pol_interval,dates_pol_interval,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
4,4bb33aa8_trx_stats_isin,trx_stats_isin,fail,fail,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,L1,incomplete runnable code,L2 cascade; L3 independent pass,no,Generated code has inconsistent indentation and cannot be compiled; the oracle compiles and the separate missing-column edge branch passes.,genuine migration failure
4,6f1c2684_datasets_read_csv,datasets_read_csv,pass,fail,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,L2,value or datetime mismatch,none,no,Generated and oracle outputs differ in issue_date under the representative input; the edge check passes.,genuine migration failure
4,8bb7bc3a_expose_isin,expose_isin,fail,fail,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,L1,incomplete runnable code,L2 cascade; L3 independent pass,no,Generated code has inconsistent indentation and cannot be compiled; the oracle compiles and the separate edge branch passes.,genuine migration failure
4,8c71f3c7_citation_models_rank,citation_models_rank,fail,fail,unknown,yes,yes,yes,yes,yes,aligned to primary function,yes,L1,invalid target API usage,L2 cascade,no,Generated migration calls Polars with_columns on a pandas DataFrame; the oracle succeeds and no target-specific L3 result is available.,genuine migration failure
4,8c71f3c7_document_info_tolist,document_info_tolist,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
4,8c71f3c7_embedder_frame,embedder_frame,pass,pass,unknown,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,result-labeling issue,The available empty-mapping check passes but is emitted with an L2 marker rather than L3.,migration passed available checks; L3 marker needs correction
4,8c71f3c7_hybrid_score_concat,hybrid_score_concat,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
4,8c71f3c7_hybrid_scorer_citation_index,hybrid_scorer_citation_index,fail,fail,fail,yes,yes,yes,yes,yes,aligned to primary function,yes,L1,incomplete runnable code,L2 and L3 cascade,no,Generated code has inconsistent indentation and cannot be compiled while the oracle is runnable.,genuine migration failure
4,8c71f3c7_hybrid_scorer_language_index,hybrid_scorer_language_index,fail,fail,fail,yes,yes,yes,yes,yes,aligned to primary function,yes,L1,incomplete runnable code,L2 and L3 cascade,no,Generated code has inconsistent indentation and cannot be compiled while the oracle is runnable.,genuine migration failure
4,8c71f3c7_input_converter_index,input_converter_index,pass,fail,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,L2,missing return or step,none,no,The oracle returns 101 but the generated implementation returns None on the representative input; the edge check passes.,genuine migration failure
4,8c71f3c7_input_converter_loc,input_converter_loc,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
4,8c71f3c7_model_choice_load,model_choice_load,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
4,8c71f3c7_pairwise_loc_colname,pairwise_loc_colname,fail,fail,fail,yes,yes,yes,yes,yes,aligned to primary function,yes,L1,incomplete runnable code,L2 and L3 cascade,no,Generated file executes migration statements at module scope with unresolved df and label variables and mixes pandas Index construction with a Polars expression.,genuine migration failure
4,8c71f3c7_pairwise_loc_item,pairwise_loc_item,fail,fail,fail,yes,yes,yes,yes,yes,aligned to primary function,yes,L1,incomplete runnable code,L2 and L3 cascade,no,Generated file executes migration statements at module scope with unresolved df and label variables and mixes pandas Index construction with a Polars expression.,genuine migration failure
4,8c71f3c7_precompute_df_construct,precompute_df_construct,pass,skip,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,comparison limitation,Both implementations run but the harness has no supported comparable output for L2; the target-specific edge smoke check passes.,no observed migration failure; comparison unsupported
4,8c71f3c7_s4_combine_load_concat_write,s4_combine_load_concat_write,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
4,8c71f3c7_s8_combine_load_concat_write,s8_combine_load_concat_write,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
