batch,snippet_id,func_name,l1_raw,l2_raw,l3_raw,notebook_match,generated_code_match,function_match,output_match,fixture_match,result_alignment,oracle_valid,primary_layer,primary_category,cascade,evaluation_induced,evidence,review_status
8,portfolio_momentum_stoch_osc,portfolio_momentum_stoch_osc,fail,fail,fail,yes,yes,yes,yes,yes,raw summary entirely contaminated by sibling output,yes,none,none,none,result-extraction issue,Target cell shows generated smoke standard equivalence and empty-frame edge execution all passing.,validated pass; raw summary needs correction
8,portfolio_momentum_stoch_rsi,portfolio_momentum_stoch_rsi,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and empty-frame check pass.",validated pass
8,portfolio_stock_from_pandas,portfolio_stock_from_pandas,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and empty-history check pass.",validated pass
8,portfolio_stock_to_dict,portfolio_stock_to_dict,pass,skip,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,comparison limitation,Both standard calls return None and the harness does not inspect their side effect; the empty-DataFrame edge smoke check passes.,no observed migration failure; standard comparison unsupported
8,quant_backtester_calculate_returns_migration,quant_backtester_calculate_returns_migration,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,result-labeling issue,Standard behavior and all pair single-ticker and missing-close branches pass; two edge comparisons use L2 markers.,validated pass; some L3 markers need correction
8,quant_backtester_performance_metrics_migration,quant_backtester_performance_metrics_migration,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Standard behavior plus drawdown and zero-variance edge cases pass.",validated pass
8,quant_trading_strategy_backtester_data_load_yfinance_data_two_tickers_migration,quant_trading_strategy_backtester_data_load_yfinance_data_two_tickers_migration,fail,fail,fail,yes,yes,yes,yes,yes,aligned to primary function,yes,L1,schema or column-name mismatch,L2 and L3 cascade,no,Generated code expects a Date column after reset_index but the fixture produces columns index and Close; the oracle succeeds.,genuine migration failure
8,readnext_hybrid_score_compare_scores_migration,readnext_hybrid_score_compare_scores_migration,pass,pass,unknown,yes,yes,yes,yes,yes,L3 check printed with L2 marker,yes,none,none,none,result-labeling issue,Standard score comparison and target edge comparison pass; the edge result is emitted with an L2 marker.,migration passed; L3 marker needs correction
8,readnext_hybrid_score_to_frame_migration,readnext_hybrid_score_to_frame_migration,pass,pass,unknown,yes,yes,yes,yes,yes,L3 check printed with L2 marker,yes,none,none,none,result-labeling issue,Standard frame conversion and target edge comparison pass; the edge result is emitted with an L2 marker.,migration passed; L3 marker needs correction
8,scoring_compare_methylation_pattern_migration,scoring_compare_methylation_pattern_migration,pass,pass,unknown,yes,yes,yes,yes,yes,L3 check printed with L2 marker,yes,none,none,none,result-labeling issue,Standard behavior and branch edge comparison pass; the edge result is emitted with an L2 marker.,migration passed; L3 marker needs correction
8,scoring_compare_methylation_pattern_multiprocessed_migration,scoring_compare_methylation_pattern_multiprocessed_migration,pass,fail,fail,yes,yes,yes,yes,yes,raw L2 and L3 contaminated by sibling output,yes,none,none,none,result-extraction issue,Target cell shows standard score and missing-list behavior plus both edge checks passing.,validated pass; raw summary needs correction
8,scoring_define_mean_methylation_thresholds_migration,scoring_define_mean_methylation_thresholds_migration,pass,fail,unknown,yes,yes,yes,yes,yes,L3 check printed with L2 marker,yes,L2,return-type mismatch,none,result-labeling issue,Under representative input exactly one side returns a DataFrame; the separately tested branch edge comparison passes.,genuine migration failure; L3 marker needs correction
8,scoring_process_bin_contig_merge_migration,scoring_process_bin_contig_merge_migration,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, standard comparison, and branch edge comparison pass.",validated pass
8,src_onemod_utils_parameters_create_params_migration,src_onemod_utils_parameters_create_params_migration,pass,pass,unknown,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,Generated smoke execution and standard DataFrame equivalence pass; no target-specific L3 check is present.,migration passed available checks; no L3 evidence
8,src_onemod_utils_parameters_get_params_migration,src_onemod_utils_parameters_get_params_migration,pass,pass,unknown,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,Generated smoke execution and standard dictionary equivalence pass; no target-specific L3 check is present.,migration passed available checks; no L3 evidence
8,tesseract_ocr_concat_lazy,tesseract_ocr_concat_lazy,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
8,tesseract_ocr_from_dicts,tesseract_ocr_from_dicts,pass,pass,pass,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,no,"Target-specific oracle, generated execution, behavioral comparison, and edge checks pass.",validated pass
8,ultralytics_benchmarks_config,ultralytics_benchmarks_config,pass,skip,unknown,yes,yes,yes,yes,yes,aligned to primary function,yes,none,none,none,comparison limitation,Both standard calls return None and no observable state is compared; no target-specific L3 check is present.,no observed migration failure; comparison unsupported
